1,Which of these selection statements test only for equality?,if,switch,if&switch,none of the mentioned,2
2,Which of these are selection statements in Java?,if(),for(),continue,break,1
3,Which of the following loops will execute the body of loop even when condition controlling the loop is initially false?,do-while,while,for,none of the mentioned,1
4,Which of these jump statements can skip processing remainder of code in its body for a particular iteration?,break,return,exit,continue,4
5,Which of the following is not a decision making statement?,if,if-else,switch,do-while,4
6,Which of the following is not a valid jump statement?,break,goto,continue,return,2
7,From where break statement causes an exit?,only from innermost loop,terminates a program,only from innermost switch,from innermost loops or switches,4
8,Which of the following is not a valid flow control statement?,exit(),break,continue,return,1
9,Which of the following loops will execute the body of loop even when condition controlling the loop is initially false?,do-while,while,for,none of the mentioned,1
10,Which of these jump statements can skip processing the remainder of the code in its body for a particular iteration?,break,return,exit,continue,4
